1k4c,18.369,18.357,16.384,12.278,14.705,18.985,20.318,15.446,11.390,19.906
1m56,36.164,30.110,27.863,29.855,27.449,12.449,14.678,29.473,28.936,26.172
1ots,13.919,15.485,25.866,17.548,14.797,12.077,22.516,26.130,15.454,23.016
2bg9,53.245,40.304,57.462,34.232,50.678,35.805,63.786,54.901,39.641,34.809
2bs2,23.622,17.343,18.316,20.337,1.126,19.651,24.334,21.026,29.213,21.711
2gsk,17.095,12.933,19.041,18.759,18.725,16.546,20.095,18.016,12.510,18.860
2hdi,21.863,22.658,23.280,19.792,23.105,23.903,20.291,21.875,23.512,20.119
2hi7,15.815,15.891,15.026,10.280,10.415,11.386,11.499,15.785,13.994,17.439
2k9j,12.108,5.402,12.348,12.341,13.485,5.395,5.483,2.434,14.026,11.704
2ks1,11.277,8.619,8.734,8.819,5.698,7.211,6.260,9.014,12.096,13.522
2r6g-TM,1.048,2.464,3.425,34.631,4.476,21.477,24.622,27.509,19.057,24.226
2r6g-TM-cyto,24.473,22.322,24.948,27.986,23.182,24.223,24.568,19.545,29.164,23.601
2r6g-TM-peri,22.727,3.108,29.544,23.672,17.758,19.356,23.275,4.271,28.257,18.032
2vpz,36.162,15.611,25.262,38.787,19.346,36.599,29.363,17.494,42.807,14.327
2zxe-AB,15.972,16.352,16.599,13.054,16.515,11.519,18.815,10.640,16.716,16.814
2zxe-AG,5.858,11.212,12.953,10.951,10.130,12.509,11.296,8.462,9.647,12.712
3csl,29.763,28.256,24.910,31.232,27.280,27.831,27.368,29.987,30.161,27.081
3hd7,10.428,7.176,10.066,4.053,9.611,3.737,6.764,6.563,7.779,10.476
3o0r,13.600,6.506,13.329,8.047,13.222,20.357,14.257,11.341,18.390,6.575
3p0g,18.428,18.818,19.118,17.977,17.635,17.930,16.717,23.243,15.641,17.676
3v8x,32.851,35.672,34.306,53.111,29.250,55.793,52.472,37.819,3.690,46.726
3wxw,13.121,13.009,12.856,15.356,11.438,11.297,11.623,11.048,12.264,18.626
3x29,15.203,16.744,14.850,18.200,12.629,18.386,14.595,13.709,18.763,19.426
4hg6,0.860,13.157,14.367,16.720,15.685,19.765,19.592,11.318,12.825,21.219
4huq-TM,1.264,1.522,2.352,2.004,16.116,13.018,18.387,15.842,16.047,17.499
4huq-TM-A,16.044,20.997,19.585,24.469,16.165,20.184,14.833,18.465,23.846,19.216
4huq-TM-B,20.305,1.454,19.233,21.767,18.747,17.783,20.870,20.026,18.521,16.352
4j3o,5.109,19.802,27.450,22.128,17.944,9.055,26.930,26.896,17.509,22.910
4m48,19.168,13.772,13.617,17.765,20.570,21.608,22.374,22.729,16.214,21.941
4q35,17.162,19.584,15.810,19.897,26.253,15.561,20.377,22.772,25.544,20.719
5a63-AC,10.676,14.439,10.486,13.982,10.380,4.776,9.723,10.694,10.660,14.245
5a63-BC,0.884,0.899,12.193,9.245,10.902,23.507,16.959,17.104,9.444,10.215
5aww,14.856,16.372,15.338,15.612,10.546,15.790,20.979,17.472,20.737,21.771
5d0o,33.346,33.246,41.607,34.794,34.008,35.554,43.390,42.397,38.384,41.566
5fxb,12.588,16.532,14.887,16.400,15.050,14.942,16.878,14.940,16.172,15.560
